node_id,lat,lon
1470,8258715.1599904355,660879.1345552411
1471,8255100.829196548,660303.3857381484
1472,8261052.08451765,661243.506768973
1473,8258743.464362792,660879.1215663876
1474,8263159.839139414,662227.7004949313
1475,8266738.045864754,662485.793324556
1476,8263204.79137123,662205.1916218526
1477,8267959.773178104,666301.1094850367
1478,8266653.461913055,663572.0760600506
1479,8215462.984974831,638193.6723769178
1480,8215419.9964497825,638194.1942095753
1481,8220247.778340783,639407.9981926269
1482,8220229.305400172,639365.1581518275
1483,8225571.194018313,642110.3738539334
1484,8222480.118528111,640060.4540262193
1485,8229473.556723786,648414.966240689
1486,8225802.43948721,647007.2050921163
1487,8239798.516953436,655183.5118617876
1488,8235489.265456358,653192.4458388214
1489,8239841.881188506,655212.0901932522
1490,8243995.0962710865,653396.5461470231
1491,8203084.779453872,624446.3329003702
1492,8202123.101946342,624365.5997758191
1493,8196241.215292109,616082.2100348166
1494,8196243.957292883,616142.762057951
1499,8172181.752229487,595813.6014585012
1500,8172234.484292526,595544.3518624695
1501,8172142.747957262,595879.4111246916
1502,8172081.878996341,596037.5723009313
1530,8174269.847882908,591657.5066086464
1559,8174067.393566425,592771.6879290856
1560,8174148.733206801,592865.9583549947
1576,8174279.129137496,592687.9448672568
1619,7888520.5307907695,892242.7579432958
1668,8173744.553689064,588183.664100346
1699,8171293.087064465,582506.0772687271
1700,8171776.468126738,582406.8563097555
1701,8174156.548032368,582126.9724848517
1702,8174356.915702448,582119.594324974
1705,8169629.274378832,587531.2799670786
1706,8169629.328006558,587518.1343866921
1732,8198677.652808418,627923.9972901518
1733,8205965.766459157,630912.1965596664
1734,8205972.630630168,630918.875835753
1735,8204863.779055923,634687.8521007125
1740,8010188.071136919,1378210.1403631915
1753,8120052.889614276,882194.3421569751
1754,8120051.310806389,883283.65916692
1757,8514736.179731885,960307.3954805384
1762,8116674.593554977,857786.9254684527
1763,8116784.862033803,858001.4390151266
1764,8116668.618181113,857625.6822511386
1767,8120015.66665051,883384.2991790143
1768,8119876.548363872,883700.9227833538
1771,8359581.0340857245,941010.934754366
1772,8366382.369459042,940913.7858094552
1775,8352234.505945044,933681.8905539575
1776,8352324.958973141,933837.188128728
1777,8352380.491876692,934088.3199912338
1778,8352290.246773571,935776.2023885384
1785,7988924.894992842,1087098.5598696205
1786,7989024.493798101,1087143.1687900843
1787,7991023.586718891,1087921.2480431166
1788,7997114.514100038,1092899.2454032842
1789,7999647.506295603,1106520.2448287453
1790,8003178.456591344,1101521.985945955
1797,8068082.614102153,1047645.8592819
1798,8068336.830834698,1048294.4449436344
1802,8278291.67000045,1122923.9126096684
1804,8237802.094309028,1134723.132288117
1807,8152581.345845165,1194020.470535574
1808,8161391.539806874,1184386.1047685496
1809,8234754.458396045,1120375.0577782302
1810,8235031.206051521,1122777.0896458002
1824,8116811.11009513,917616.17881933
1825,8116556.036160684,918151.1647580656
1826,8116726.673115409,911310.4682160984
1827,8116702.379901055,911722.6927243784
1828,8115563.200099735,893190.3482855642
1829,8115351.405586464,893965.9970699458
1830,8116661.83294666,912507.1887678856
1831,8116859.18708192,917465.1943144684
1832,8073473.241812185,815343.1407139888
1833,8073589.553327958,815019.0122505354
1834,8074001.141331688,813045.5267614801
1835,8074054.353181222,812963.7908742786
1836,8073991.807947026,813039.4377574971
1837,8073901.605203778,813179.5999963479
1838,8074895.96933371,810558.3798493494
1839,8075034.272900885,809952.1748965816
1840,8074045.41438739,812957.973865176
1846,8071793.348599154,823118.8071297973
1847,8073108.160483682,821769.8506851285
1848,8073123.61294149,820917.5689096095
1849,8073111.134887694,820883.4110508765
1850,8073135.466183692,820949.1962085133
1855,8076153.437632535,805769.5890479102
1856,8076132.156474552,805799.2528011242
1857,8076136.190715057,805808.6944539666
1858,8076156.093341244,805780.8394211826
1859,8076179.703056799,805748.0622699128
1860,8076509.232116454,805297.519725929
1861,8076735.27587688,804594.7056480078
1862,8076565.539678682,804141.3938027242
1863,8076732.470038461,804836.3533997554
1864,8076732.663765781,804781.2067947204
1865,8076723.576255986,804785.2083780784
1866,8076723.0158168,804841.9130171721
1867,8076722.813985036,804868.7242478307
1868,8076700.133376721,805003.0835753577
1869,8067133.18202708,805639.0502990398
1870,8067391.468619861,805479.4109770011
1882,8072776.969171418,801217.6737262381
1883,8072820.595738366,800971.9205635372
1886,8074531.642178568,800939.2196773507
1893,8084646.230371516,787592.4277431205
1894,8084676.714342375,787592.0795978925
1895,8053667.42388489,1120226.9470654652
1896,8053663.18219809,1120285.3003517997
1897,8071653.096871693,823299.6247316838
1898,8071595.502317425,824922.3479037138
1901,8097201.745992644,846239.4699137919
1902,8097583.90982809,846388.3730518091
1903,8102699.239434127,850998.1228330438
1904,8104294.763540053,852182.3339340234
1905,8111767.752514328,856799.0477098082
1906,8110323.000245405,857119.8725549718
1907,8119856.373408664,883745.0121282695
1912,8115732.044583581,893103.4712502727
1913,8112011.6461995235,939611.160639405
1914,8112131.755999189,939450.5727619604
1915,8104381.27636347,946409.8419827342
1916,8104015.654291011,947255.373111497
1917,8101535.479810616,956103.3634997878
1918,8100973.495189722,957308.0032079516
1919,8091725.69791044,979368.4099335256
1920,8090243.916099366,982784.7972638976
1921,8091740.424546931,979127.903333004
1922,8085464.186823871,995585.1821491309
1923,8085518.678016932,995947.1332207434
1924,8085558.631888388,996200.5077047038
1925,8086483.696446586,999467.5893025852
1926,8075702.229588785,1103710.292599287
1927,8075579.672316832,1103443.7110362535
1932,8075463.84286927,1110140.311018956
1933,8075521.391539147,1110164.555187445
1936,7639658.955118775,1070462.165724717
1951,7841633.239479469,1074881.597888725
1952,7834274.432121785,1072350.8777685273
1953,7912526.409864482,1099574.2270416543
1954,7901373.342801394,1091885.009570906
1956,7688327.2099126205,1089192.2837089454
